news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
N27251,fighting,Jorge Masvidal says he's 'dead serious' about wanting to box against Canelo Alvarez,The BMF champ thinks he has a legitimate chance to knock out Canelo in a boxing fight,Jorge Masvidal says he's 'dead serious' about wanting to box against Canelo Alvarez The BMF champ thinks he has a legitimate chance to knock out Canelo in a boxing fight,"[-0.07036253623219356, -0.0012561595106220134, -0.12188986602891597, 0.17587685477978598, 0.12098113079940735, 0.05541674535577105, 0.01762919623207673, 0.06246349037621305, 0.005241707032817252, -0.1004920647518573]","[0.22010041773319244, -0.15286152064800262, 0.36749541759490967, 0.26499730348587036, 0.1304083615541458, 0.13395540416240692, -0.009883594699203968, 0.09447702765464783, -0.03423858433961868, 0.0056365057826042175]","[0.16808141008738908, 0.240224028998293, 0.40644401742926456, 0.11033301957044954, -0.11160438965506923, 0.026005371761869865, -0.20610298010762737, -0.16293752034103948, -0.1289175000110626, -0.06104114275961528]"
N42651,fighting,Usman not sold on Masvidal hype but would be 'very interested' in a fight,He's the same guy. He's fought the same way forever. It's just the luck of the draw. He's getting that luck of the draw.,Usman not sold on Masvidal hype but would be 'very interested' in a fight He's the same guy. He's fought the same way forever. It's just the luck of the draw. He's getting that luck of the draw.,"[-0.04120289762935062, -0.012389702619705702, -0.07193514961892394, 0.11119375020880747, 0.06892619932898177, 0.04526764635004667, -0.01530549523323909, 0.03116968255687982, 0.007090699015567861, -0.06368076828850129]","[0.18343301117420197, -0.13772784173488617, 0.4319615960121155, 0.22987815737724304, 0.17815940082073212, 0.10471431165933609, 0.061253827065229416, 0.0738944485783577, -0.07426328957080841, 0.03945852443575859]","[0.15468410005116448, 0.27761427780812437, 0.3406123020328308, 0.22125433142914372, -0.08948033863709591, 0.1142247884587515, -0.16917919542130966, -0.2204445929894622, -0.007965291093345421, -0.05339566519496603]"
N53499,fighting,Royce: 'It's hard to compare' eras; can fighters today fight in 1993?,"Royce Gracie spoke with BloodyElbow.com ahead of Bellator 234 about everything but: Kazushi Sakuraba and catch-wrestling, Judo and Jiu-Jitsu on the mat, the cage and out on the streets, on his favorite fighters and on why he doesn't watch ADCC","Royce: 'It's hard to compare' eras; can fighters today fight in 1993? Royce Gracie spoke with BloodyElbow.com ahead of Bellator 234 about everything but: Kazushi Sakuraba and catch-wrestling, Judo and Jiu-Jitsu on the mat, the cage and out on the streets, on his favorite fighters and on why he doesn't watch ADCC","[-0.02678465237755474, 0.00801822765538084, -0.08969855281882087, 0.05854003010740638, -0.0032959672228946068, 0.02601689405609918, 0.0284961033420003, -0.025705128740932802, 0.0016386108088105123, -0.04173851505646021]","[0.28258880972862244, -0.02807336114346981, 0.28132733702659607, 0.1087370291352272, 0.32031112909317017, 0.08682834357023239, 0.08524595946073532, -0.021650144830346107, -0.08282722532749176, 0.042569175362586975]","[0.13353378115829875, 0.22309486687897917, 0.24774282336709455, 0.19394277406226682, -0.011592903425383116, 0.04737577777844759, -0.1373811315470873, -0.19376426897346433, 0.10458947329537396, -0.075225248861173]"
N55690,fighting,Dooho Choi set to return vs. Charles Jourdain at UFC on ESPN+ 23 in South Korea,Dooho Choi vs. Charles Jourdain and Ji Yeon Kim vs. Sabina Mazo are the latest additions to the UFC on ESPN+ 23 card in South Korea.,Dooho Choi set to return vs. Charles Jourdain at UFC on ESPN+ 23 in South Korea Dooho Choi vs. Charles Jourdain and Ji Yeon Kim vs. Sabina Mazo are the latest additions to the UFC on ESPN+ 23 card in South Korea.,"[-0.06241153029140325, 0.018252343948566032, -0.0969391431233246, 0.16562678992135338, 0.12250066332360172, 0.03855074666027115, 0.005946697894901863, 0.04664343764964566, -0.020280391613894153, -0.002419918370983446]","[0.21483135223388672, -0.010899859480559826, 0.2998087406158447, 0.04907854646444321, 0.1451689749956131, 0.04939812421798706, 0.07549238204956055, 0.14797216653823853, -0.02879028394818306, 0.12019655853509903]","[0.15146126928363882, 0.20247652570572341, 0.2190983455606515, 0.19659424948837215, 0.07323238419309358, 0.06488039183741001, -0.1170441534321779, 0.1954627089720577, -0.04168738853045425, 0.023426189024141036]"
N6079,fighting,Khabib slams McGregor in Twitter exchange,Khabib Nurmagomedov engages in a brief Twitter exchange with Conor McGregor.,Khabib slams McGregor in Twitter exchange Khabib Nurmagomedov engages in a brief Twitter exchange with Conor McGregor.,"[-0.0457429915652487, 0.013545484873931528, -0.07463586805691594, 0.05532411368677623, 0.034326021198829056, 0.037058559253904624, -0.006443386829761372, 0.014945577542011843, -0.010452509373086423, -0.028550766425509407]","[0.2576974928379059, -0.08168931305408478, 0.3041737377643585, 0.18539045751094818, 0.21154309809207916, -0.08406835794448853, 0.08998246490955353, 0.01978801190853119, -0.24938738346099854, 0.07207544893026352]","[0.09751368534339748, 0.22200977768907634, 0.22394863532032425, 0.21228241363278155, -0.11110513976345794, 0.029679592715130782, 0.03320525886896331, -0.020870769255976862, -0.02612935242289333, -0.03643866286816932]"
N51999,fighting,Interview: Chael Sonnen recalls fighting GSP 'in a basement' back in 2014,"The recently retired UFC and Bellator contender Chael Sonnen sat down with BloodyElbow.com to discuss his toughest opponents (GSP?!), recent allegations regarding Conor McGregor, Jiu-Jitsu & wrestling, missiles, and USADA.","Interview: Chael Sonnen recalls fighting GSP 'in a basement' back in 2014 The recently retired UFC and Bellator contender Chael Sonnen sat down with BloodyElbow.com to discuss his toughest opponents (GSP?!), recent allegations regarding Conor McGregor, Jiu-Jitsu & wrestling, missiles, and USADA.","[-0.06506282781132279, 0.006204438694858709, -0.15432586717076974, 0.1563442796757096, 0.07738805973187535, 0.061101456713499876, 0.044743854583231636, -0.013954700569248399, 0.015840370610780932, -0.03323341379286064]","[0.24925686419010162, -0.00664145965129137, 0.3161373436450958, 0.09169163554906845, 0.3624909520149231, -0.004589052405208349, 0.04259795323014259, -0.05324723571538925, -0.055858124047517776, 0.09325854480266571]","[0.23897041498867977, 0.24077861712959805, 0.3104662995509618, 0.18615740030580444, 0.036497037091775285, 0.0892929598652625, -0.1142177909999588, 0.02957337433668326, 0.024353164212624658, -0.07587289632380244]"
N58423,fighting,Tyson Fury teased a potential MMA debut and Conor McGregor wants to train him,"Tyson Fury is a man of many talents, but a switch to MMA would be quite a change of pace for the heavyweight.","Tyson Fury teased a potential MMA debut and Conor McGregor wants to train him Tyson Fury is a man of many talents, but a switch to MMA would be quite a change of pace for the heavyweight.","[-0.06219488233863798, 0.011362020588905886, -0.10416940502606332, 0.07064150282745228, 0.03058735404778798, 0.04550807711528596, -0.009216862891904102, 0.004391615569469657, -0.029003701546243436, -0.013657207753717707]","[0.24243876338005066, -0.15842904150485992, 0.33210137486457825, 0.1520342081785202, 0.20975524187088013, 0.03165154904127121, 0.14316673576831818, 0.2706056535243988, 0.009696025401353836, 0.16800524294376373]","[0.16728514846887008, 0.29847306707250737, 0.28242352477586213, 0.07252845077607666, -0.018258990632326434, -0.04317825060666017, -0.13793593961392406, -0.12024184041030643, -0.0583262151009656, -0.008097762368450726]"
N27631,fighting,Alvarez stops Kovalev in 11th round to win 175-pound title,LAS VEGAS (AP) Canelo Alvarez used a big punch to beat a big fighter.,Alvarez stops Kovalev in 11th round to win 175-pound title LAS VEGAS (AP) Canelo Alvarez used a big punch to beat a big fighter.,"[0.029285010986692925, 0.05263861090762201, -0.050417000899994985, 0.049814522802023684, 0.07372314122032964, -0.1646210096661276, 0.05051370362005959, 0.08915345368274981, -0.000879302437776735, 0.21218048892601804]","[0.28756457567214966, 0.11353999376296997, 0.22384242713451385, 0.33979225158691406, 0.2530822157859802, 0.15484265983104706, -0.05058693885803223, -0.07293955981731415, -0.0038394920993596315, -0.010419671423733234]","[0.23013448622790877, 0.03710751181397041, 0.11668323927077047, 0.19367971480455987, -0.1397924241693308, 0.03184781273011875, -0.073187591443653, 0.16892474318523412, -0.04471987856686606, -0.17629516980764415]"
N26638,fighting,Ngannou to Volkov after UFC Moscow: Don't turn this down again,Former UFC heavyweight title challenger Francis Ngannou wants Alexander Volkov next.,Ngannou to Volkov after UFC Moscow: Don't turn this down again Former UFC heavyweight title challenger Francis Ngannou wants Alexander Volkov next.,"[-0.07222413640842786, 0.0187481262557345, -0.2107527292458766, 0.27086806560727184, 0.20107265352518308, 0.05917347580539434, 0.04194041278052671, 0.020784834931658006, 0.00020348774748073502, 0.05483548503142464]","[0.2674393951892853, -0.14622154831886292, 0.19704289734363556, 0.2629193067550659, 0.15994608402252197, -0.04470382630825043, 0.16941864788532257, 0.20107364654541016, 0.04313773289322853, 0.0238015279173851]","[0.1613264228713209, 0.24519936057329556, 0.2641161770885334, 0.21550235872978887, -0.1091804383460351, -0.0875354030336504, -0.12824707395280874, -0.07061923819949942, -0.08165413944035967, -0.09383838677985568]"
N59065,fighting,"Marine veteran gets a grand entrance on 'his' weekend, then backs it up in ring to defend belt","Defending his WBO super featherweight world title on Veterans Day weekend was special for Marine veteran Jamel Herring. He was escorted to the ring Saturday night at Chukchansi Park with two Humvees and 300 Marines to the delight of the 7,412 fans in attendance.. Talk about a grand entrance for the 34-year-old Herring, who served nine years in the Marines, with two tours in Iraq. He ...","Marine veteran gets a grand entrance on 'his' weekend, then backs it up in ring to defend belt Defending his WBO super featherweight world title on Veterans Day weekend was special for Marine veteran Jamel Herring. He was escorted to the ring Saturday night at Chukchansi Park with two Humvees and 300 Marines to the delight of the 7,412 fans in attendance.. Talk about a grand entrance for the 34-year-old Herring, who served nine years in the Marines, with two tours in Iraq. He ...","[-0.007011311292083273, -0.03215459707448297, 0.012898304508212879, -0.02163496552287231, 0.08633904118099171, -0.05531568396312416, -0.04155130404047865, -0.058935947265082056, -0.08191622378527766, 0.12182595121793356]","[0.184003546833992, -0.07286550104618073, 0.3009994328022003, 0.0905240923166275, 0.21854819357395172, 0.08586624264717102, 0.042310964316129684, -0.051829174160957336, 0.07437426596879959, 0.11530742049217224]","[0.1339626302449019, 0.0686668883315607, 0.21033158918651876, 0.04290327712149, 0.036875206842250076, 0.10140201415257628, -0.06442122829574187, 0.07703957910308641, -0.0701165310215047, 0.006936623999232073]"
N49617,fighting,"Jose 'Shorty' Torres opens up about father's death, difficult time that ultimately forced him out of Brave 29","Jose ""Shorty"" Torres was forced to pull out of his flyweight title fight at BRAVE 29 after his body shut down during weight cutting while he was still grieving the loss of his father.","Jose 'Shorty' Torres opens up about father's death, difficult time that ultimately forced him out of Brave 29 Jose ""Shorty"" Torres was forced to pull out of his flyweight title fight at BRAVE 29 after his body shut down during weight cutting while he was still grieving the loss of his father.","[-0.023089001473873674, 0.0231291576794342, -0.08150700062724088, 0.04674264826076666, 0.057780202916458426, -0.009545444669982157, 0.002373324461552243, 0.012951361279194823, 0.010616249944326568, 0.0158819056321999]","[0.15522347390651703, -0.1743956208229065, 0.2814050018787384, 0.2627467215061188, 0.07419905811548233, 0.04023761674761772, -0.06959157437086105, -0.21781407296657562, -0.04637441784143448, -0.07219762355089188]","[0.14203330107268083, 0.16830516208346083, 0.26113255808630487, 0.10321363812477613, 0.02338570557949804, -0.003700565047331424, 0.043382558111493996, 0.08527728090924004, 0.07845492016749263, -0.014644084409699873]"
N40979,fighting,"Later, Bader! 'Darth' Abandons Quest For RIZIN Belt","Bellator MMA two-division champion, Ryan Bader, is no longer gunning for the RIZIN FF 205-pound title and will instead make his stateside return in February.","Later, Bader! 'Darth' Abandons Quest For RIZIN Belt Bellator MMA two-division champion, Ryan Bader, is no longer gunning for the RIZIN FF 205-pound title and will instead make his stateside return in February.","[-0.005713266356644899, 0.015667470663704972, -0.11511478204865026, 0.05995268672179621, 0.06463120297976443, -0.0020377397825484954, -0.025677761218383284, 0.021917252275199466, -0.019512140105337094, 0.0675631905471973]","[0.11170855164527893, -0.043666496872901917, 0.35158100724220276, 0.21133527159690857, 0.10149431973695755, 0.07837352901697159, 0.010861719027161598, -0.009690727107226849, 0.05757643282413483, 0.08841037005186081]","[0.2131771594698056, 0.1739336737151321, 0.26820838434014127, 0.16736957315513432, -0.031709052729629386, -0.12192636916422474, -0.13394569555039923, 0.04055500542550684, -0.027228318856904847, 0.039015714357403634]"
N48503,fighting,The UFC's 13 most dominant first-time title-winning performances,"From Anderson Silva to Jon Jones, to Conor McGregor to Cain Velasquez, check out 13 of the most dominant title-winning performances in UFC history.","The UFC's 13 most dominant first-time title-winning performances From Anderson Silva to Jon Jones, to Conor McGregor to Cain Velasquez, check out 13 of the most dominant title-winning performances in UFC history.","[-0.05463986681710501, 0.021986805338622135, -0.21323608615039677, 0.2451453311754845, 0.20579575053357801, 0.036647297237719104, 0.042545508002765665, 0.05548718195893103, -0.034251325674171634, 0.1985830191391706]","[0.24902567267417908, 0.179669588804245, 0.1564621478319168, 0.15153537690639496, 0.20648621022701263, 0.21918359398841858, 0.17493510246276855, -0.08816471695899963, 0.12933900952339172, 0.023130131885409355]","[0.22577405914107343, 0.11009034177464319, 0.12254111411636108, 0.20537608805438298, -0.13490453822352313, 0.047128882973035996, -0.2861433132080328, 0.08160267845547131, 0.05811139196631695, 0.005288930127656238]"
N23029,fighting,Conor McGregor Next Fight Candidates After Press Conference Teasing Return to UFC,"Conor McGregor's return to mixed martial arts, at long last, is close at hand. The Notorious MMA hasn't hit the the Octagon since his loss (and the outrageous post-fight melee) at UFC 229, but at a McGregor press conference Wednesday in Ukraine, the former two-division champion teased his next big move. Conor McGregor: Announcement on next bout coming soon https://t.co/z7oRSpOel7   Marc Raimondi (@marc_raimondi) October 23, 2019 McGregor has...","Conor McGregor Next Fight Candidates After Press Conference Teasing Return to UFC Conor McGregor's return to mixed martial arts, at long last, is close at hand. The Notorious MMA hasn't hit the the Octagon since his loss (and the outrageous post-fight melee) at UFC 229, but at a McGregor press conference Wednesday in Ukraine, the former two-division champion teased his next big move. Conor McGregor: Announcement on next bout coming soon https://t.co/z7oRSpOel7   Marc Raimondi (@marc_raimondi) October 23, 2019 McGregor has...","[-0.09180189071012004, 0.003127256199450606, -0.18456158339352174, 0.21064526396236163, 0.13750258711274313, 0.07338088668468253, 0.022021880736393665, 0.019215519911931538, -0.008543108912692925, 0.026679486783953165]","[0.24671809375286102, -0.08532240986824036, 0.43084490299224854, 0.1485302895307541, 0.3025943338871002, 0.10332223027944565, 0.19566820561885834, 0.25613996386528015, -0.03136943653225899, 0.24756823480129242]","[0.1769697060320123, 0.2508638743223707, 0.265375536335387, 0.1462740248658208, -0.0256550394067321, -0.014686658524697815, -0.14936694150411958, -0.06352282219575722, -0.0787003651476046, 0.01096273659195127]"
N215,fighting,"Dana White 'looking' at Conor McGregor vs. 'Cowboy' Cerrone, but not a done deal yet","UFC president Dana White confirms the promotion would like to book Conor McGregor against Donald ""Cowboy"" Cerrone in January but the fight isn't yet a done deal yet.","Dana White 'looking' at Conor McGregor vs. 'Cowboy' Cerrone, but not a done deal yet UFC president Dana White confirms the promotion would like to book Conor McGregor against Donald ""Cowboy"" Cerrone in January but the fight isn't yet a done deal yet.","[-0.07240481264279337, 0.0191766655680967, -0.15447628396813629, 0.20832831637374252, 0.1208785152392969, 0.10987750476508988, -0.018226005025198493, 0.03227395745884861, -0.02443858349428444, -0.04434708196912868]","[0.18149103224277496, -0.025224147364497185, 0.4369857609272003, 0.13238178193569183, 0.19687128067016602, 0.07252750545740128, 0.0860878974199295, 0.2273450493812561, -0.032885972410440445, 0.12233270704746246]","[0.09443592162790707, 0.25469769417733534, 0.329723336397587, 0.08932431446882251, 0.013520956545090975, -0.03931470735300163, -0.18156556679273306, -0.045862492551073185, -0.06403793964505335, 0.03014075872333427]"
N45460,fighting,Daniel Cormier responds to Stipe Miocic wanting Tyson Fury fight,"CLEVELAND, Ohio   In September, UFC president Dana White revealed plans for a trilogy fight between current heavyweight champion Stipe Miocic and Daniel Cormier. But if it's up to Miocic, that may no longer be the case. Miocic appeared on Ariel Helwani's MMA Show this week to talk about a potential superfight with boxing champ Tyson Fury. That apparently interests Miocic more than another ...","Daniel Cormier responds to Stipe Miocic wanting Tyson Fury fight CLEVELAND, Ohio   In September, UFC president Dana White revealed plans for a trilogy fight between current heavyweight champion Stipe Miocic and Daniel Cormier. But if it's up to Miocic, that may no longer be the case. Miocic appeared on Ariel Helwani's MMA Show this week to talk about a potential superfight with boxing champ Tyson Fury. That apparently interests Miocic more than another ...","[-0.05795627444892152, 0.01274748795626302, -0.1183936340195185, 0.11341718692498827, 0.08105929664777381, 0.05256325491988566, -0.009663781198415856, 0.025810513238542086, -0.015513030851055366, -0.03503652940737266]","[0.14468179643154144, -0.12496589124202728, 0.29291632771492004, 0.19722330570220947, 0.17543864250183105, 0.08194858580827713, -0.03258660063147545, 0.19304518401622772, -0.013412716798484325, 0.05243787169456482]","[0.1263467363454734, 0.23043733350543555, 0.32163471407681965, 0.1665073141786857, -0.08302383802455773, -0.09840722776136397, -0.16793152687016835, -0.10485437087597306, -0.14198623392139487, -0.09463116530561622]"
N39253,fighting,UFC champion Jon Jones pleaded 'no contest' after being accused of assaulting a woman at a New Mexico strip club,"Jon Jones was handed a 90-day deferred sentence during which he must avoid arrest, consume no alcohol or drugs, and make no contact with the accuser.","UFC champion Jon Jones pleaded 'no contest' after being accused of assaulting a woman at a New Mexico strip club Jon Jones was handed a 90-day deferred sentence during which he must avoid arrest, consume no alcohol or drugs, and make no contact with the accuser.","[-0.054831541953800196, 0.025082449254432357, -0.14355800714395367, 0.10488890178007536, 0.06842855919606587, 0.047452202842883685, -0.047267987669032896, 0.04013196120363912, -0.03852765004195988, 0.05058277256455142]","[0.218838632106781, -0.10311231017112732, 0.39106231927871704, 0.028575612232089043, 0.23692330718040466, -0.014364502392709255, -0.1822122037410736, -0.08390428870916367, -0.06363316625356674, 0.027311358600854874]","[0.1788894787207944, 0.18736158391338895, 0.3152788090442928, 0.14696652650657915, 0.027035477513217235, 0.01920900714780161, 0.14594823613011168, 0.09606292841217703, -0.035566597243233515, -0.022621283759732137]"
N23960,fighting,Nate Diaz: 'I've Been The Best For A Long Time',"Nate Diaz has always been the best, but he's now figured out how to put everyone else up on game.","Nate Diaz: 'I've Been The Best For A Long Time' Nate Diaz has always been the best, but he's now figured out how to put everyone else up on game.","[-0.09800251572343771, -0.045898818896387125, -0.028888303390906648, 0.18406802210318968, 0.07241963794510373, 0.08535733872573514, -0.0035700131384792146, 0.05655344149978427, 0.10002914310696515, -0.0872148358237516]","[0.17603926360607147, -0.05052776262164116, 0.2658536434173584, 0.16885891556739807, 0.1725805699825287, 0.068398118019104, 0.16270452737808228, -0.12028965353965759, 0.056056585162878036, 0.06310313940048218]","[0.12165197533421031, 0.1849343609172127, 0.21662799648786382, 0.10761146204540475, -0.1400098325756001, 0.039192110835258705, -0.11557410135981291, -0.22814732456711775, -0.018440317059064237, 0.09030540588097624]"
N49266,fighting,UFC Boston highlights: Rodriguez hangs on to take decision Stephens,Check out the full-fight video highlights of Yair Rodriguez vs. Jeremy Stephens from the UFC Boston co-main event.,UFC Boston highlights: Rodriguez hangs on to take decision Stephens Check out the full-fight video highlights of Yair Rodriguez vs. Jeremy Stephens from the UFC Boston co-main event.,"[-0.10257437205251269, -0.0018778239889668587, -0.20753929548664013, 0.28388956334141946, 0.12547966561458845, 0.09695222824147845, 0.11917637310439881, -0.09640753474482273, 0.03611817546962983, -0.040871418653031816]","[0.1669965535402298, 0.06256812065839767, 0.26752743124961853, 0.23514136672019958, 0.11659642308950424, 0.15887731313705444, -0.0995301604270935, -0.16316938400268555, -0.04345633462071419, -0.002173203742131591]","[0.15758214806274923, 0.10243650523274256, 0.15204056857654488, 0.2556502787138844, -0.14462266560047357, 0.08988643128538301, -0.04985262414548082, 0.16358700694119657, 0.007311378166716904, -0.08944546855111406]"
N57293,fighting,Kron Gracie disagrees with UFC Tampa decision loss to Cub Swanson: 'I won that fight',Kron Gracie feels he did enough to beat Cub Swanson on Saturday.,Kron Gracie disagrees with UFC Tampa decision loss to Cub Swanson: 'I won that fight' Kron Gracie feels he did enough to beat Cub Swanson on Saturday.,"[-0.07551254369418674, -0.006075828503855469, -0.1678616309022851, 0.22806427035754837, 0.17371301315993937, 0.061421722628915855, 0.008156792236858536, 0.014868934084319978, 0.05938998777735183, 0.03990287674008837]","[0.26034796237945557, 0.017637908458709717, 0.22769229114055634, 0.17654620110988617, 0.2364642471075058, 0.032841820269823074, -0.016735006123781204, -0.2642316222190857, 0.0349406823515892, -0.12098926305770874]","[0.14121084525888197, 0.13269158300641565, 0.24705752755489388, 0.23231845792480466, -0.16974282004056834, 0.12409782156999204, -0.006340762001400799, 0.006330521510498507, -0.0022085190895268043, -0.04056325939534695]"
N52239,fighting,Francimar Barroso plans to use PFL prize to help hometown kids become MMA fighters,A million-dollar check would change the lives of PFL fighter Francimar Barroso and dozens of kids in Brazil.,Francimar Barroso plans to use PFL prize to help hometown kids become MMA fighters A million-dollar check would change the lives of PFL fighter Francimar Barroso and dozens of kids in Brazil.,"[-0.05302708754119471, 0.01656003678098423, -0.05960383649132942, 0.022350523875930527, -0.012616665726280311, -0.006969943868941253, -0.005624051401408188, -0.013420831882957842, -0.025148786544034903, 0.006713414130360633]","[0.18935246765613556, -0.12148039042949677, 0.21483394503593445, 0.03141701966524124, 0.22147275507450104, 0.058456405997276306, 0.18835778534412384, 0.04730089753866196, -0.04523923248052597, -0.10674095898866653]","[0.2282710719170373, 0.1823028447217731, 0.2110096537607465, 0.0822851539100766, 0.06558725075857576, -0.04714314353772692, -0.21368809610585218, 0.1250667826005176, 0.12026249345585556, 0.08587958637983199]"
N39472,fighting,Video: Veronica Macedo says she's still fighting at UFC Busan five weeks after UFC Sao Paulo,"Veronica Macedo agreed to face Ariane Lipski on short notice in Sao Paulo, but she says she hasn't pulled out of UFC Busan.","Video: Veronica Macedo says she's still fighting at UFC Busan five weeks after UFC Sao Paulo Veronica Macedo agreed to face Ariane Lipski on short notice in Sao Paulo, but she says she hasn't pulled out of UFC Busan.","[-0.07688012275965772, 0.004142552937700841, -0.18480216967851001, 0.2741957142644689, 0.16610936568624876, 0.06399308569584741, 0.05297279564559196, 0.004220474909826386, 0.026757988584170573, -0.029577943909293386]","[0.2823113203048706, -0.07920722663402557, 0.2806623578071594, 0.18086737394332886, 0.17419648170471191, 0.1215408444404602, -0.0399748720228672, 0.14420372247695923, -0.03764453902840614, -0.05390303581953049]","[0.16841083368984805, 0.26053731492339327, 0.2065756334069357, 0.232722388090713, 0.05428228509252322, -0.09139000519773502, -0.07745463482300331, 0.09792881231553589, 0.03793242540147696, -0.03616946950089791]"
N22696,fighting,Free Fight! Blachowicz Flatlines Rockhold In Vegas,"Jan Blachowicz vs. Luke Rockhold full fight video from the UFC 239 event in Las Vegas, with Blachowicz winning by way of thunderous knockout.","Free Fight! Blachowicz Flatlines Rockhold In Vegas Jan Blachowicz vs. Luke Rockhold full fight video from the UFC 239 event in Las Vegas, with Blachowicz winning by way of thunderous knockout.","[-0.07775877632789782, 0.008080383682532001, -0.1522488671531154, 0.2059259635973601, 0.11219319990766359, 0.042362800420520985, 0.0797052797607387, 0.01735608109814065, -0.025147320137607884, 0.01858994570000634]","[0.25804436206817627, 0.06430904567241669, 0.257289320230484, 0.3080141544342041, 0.3280102014541626, 0.11202402412891388, -0.05685654282569885, -0.017897946760058403, -0.0492255836725235, 0.04238353297114372]","[0.17642712327587237, 0.15442154392199545, 0.24313821533934757, 0.3462597804028416, -0.03579215002061562, 0.13395480516930316, -0.12376109320015989, 0.2673712714427307, -0.00581102772669246, -0.06838790158546752]"
N51083,fighting,"UFC Tampa's Biggest Winners, Losers","UFC Fight Night 161 results: Let's take a look at the biggest winners   and losers   from last night's (Sat., Oct. 12, 2019) ESPN+ event in Tampa, Florida.","UFC Tampa's Biggest Winners, Losers UFC Fight Night 161 results: Let's take a look at the biggest winners   and losers   from last night's (Sat., Oct. 12, 2019) ESPN+ event in Tampa, Florida.","[-0.0624293182079107, -0.024151513173923923, -0.12678287991095089, 0.2583529387889279, 0.13758935912253661, 0.05574644749663642, -0.002178332267516327, 0.015728164292994777, 0.054045947168994427, -0.05678235508538734]","[0.12602734565734863, 0.3157424032688141, 0.14068137109279633, 0.25233909487724304, 0.27856898307800293, 0.20699453353881836, 0.06652292609214783, -0.05668729171156883, -0.03285627067089081, 0.04698276147246361]","[0.08659850146060735, -0.016742808149367475, 0.11075380666981485, 0.3212241202949281, -0.02974987469702521, 0.09730443571088225, -0.1884876740949646, 0.12938410936773748, 0.0018479900261984183, -0.07933851810104803]"
N12311,fighting,Bellator 231 post-event facts: Roy Nelson hits career-long losing skid,"Check out all the facts and figures from Bellator 231, which took place Friday in Uncasville, Conn., and saw Frank Mir beat Roy Nelson.","Bellator 231 post-event facts: Roy Nelson hits career-long losing skid Check out all the facts and figures from Bellator 231, which took place Friday in Uncasville, Conn., and saw Frank Mir beat Roy Nelson.","[-0.044518178013516096, 0.013404322727968791, -0.06296307039200169, -0.0015767906021434358, 0.025101171583739364, -0.020108164843697793, 0.024376312980058327, 0.003377615534688014, 0.0007244635683513578, 0.027740620889607978]","[0.20746369659900665, 0.09359166771173477, 0.21616755425930023, 0.22072811424732208, 0.18777143955230713, 0.05720369517803192, 0.04817242547869682, -0.06589383631944656, -0.009253576397895813, 0.09270524233579636]","[0.10470491103334213, 0.03927535649089243, 0.15181675477881687, 0.2705804764001888, 0.017350534450660617, -0.04399081090687381, -0.052662332518100055, 0.1408505341583966, 0.000698015486293658, -0.06669612262155364]"
N33989,fighting,The Legal Argument Against Greg Hardy's 'Inhalergate' No Contest,Greg Hardy may have a way to save that win from UFC Boston should he decide to fight the commission's No Contest ruling.,The Legal Argument Against Greg Hardy's 'Inhalergate' No Contest Greg Hardy may have a way to save that win from UFC Boston should he decide to fight the commission's No Contest ruling.,"[-0.06052540239381428, 0.008433046488324103, -0.14857364129286024, 0.22614601327001224, 0.1277006567892275, 0.055879590294317195, 0.08484814552129512, -0.0052019780564560225, 0.038272443330905646, 0.03563853043011595]","[0.21294258534908295, 0.000393987720599398, 0.23002786934375763, 0.0929485410451889, 0.1134624183177948, 0.003118343185633421, -0.0965232402086258, -0.20221614837646484, -0.11199558526277542, -0.023113394156098366]","[0.04249824912422477, 0.13817231917066916, 0.24588031961260354, 0.10449644498755581, 0.009727309506963506, 0.07933102201860291, 0.09686662759206797, 0.058026498928894714, -0.06656876084076596, -0.11608763036344567]"
N25951,fighting,Zabit reveals infection; says he 'fully' deserves UFC title shot,Zabit Magomedsharipov feels he deserves to fight the winner of the Max Holloway-Alex Volkanovski at UFC 245.,Zabit reveals infection; says he 'fully' deserves UFC title shot Zabit Magomedsharipov feels he deserves to fight the winner of the Max Holloway-Alex Volkanovski at UFC 245.,"[-0.04977443920298683, 0.014397057940635503, -0.23460226693461417, 0.361493733576837, 0.28554664131116797, 0.06284607788193804, 0.026336098439404484, 0.09636494209465468, 0.025115921159235752, 0.012629385180657537]","[0.24940671026706696, -0.10068235546350479, 0.18303796648979187, 0.19324883818626404, 0.1840214729309082, 0.010623154230415821, -0.030981216579675674, -0.036297235637903214, -0.058810167014598846, 0.041201721876859665]","[0.22874370353974818, 0.25068629934516123, 0.2563959226072127, 0.20957734023339866, -0.1193984324957671, 0.05072329016674084, -0.055026943579048825, -0.050213412002758556, -0.0032823361092242423, 0.032172712884443434]"
